Id,Label,0,1,2,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Weighted Degree_copy[z],splitter_z_value
1498355434297643012,Matthew79528234,Matthew79528234,Matthew Schwartz,https://pbs.twimg.com/profile_images/1498355530959663106/oYiDH2Og_normal.jpg,0,5,5,0,5,5,5,0
1036439943768416257,vchplz,vchplz,vchplz,https://pbs.twimg.com/profile_images/1720905557572243456/UH_rtuKv_normal.jpg,4,4,8,8,8,16,16,0
16635277,Acyn,Acyn,Acyn,https://pbs.twimg.com/profile_images/1332231334761119745/wMzlpuHi_normal.jpg,2,0,2,2,0,2,2,0
1959410619569913856,Cocibolca39,Cocibolca39,Cocibolca39,https://pbs.twimg.com/profile_images/2085881485693734912/331hDIIr_normal.jpg,1,0,1,3,0,3,3,0
1836545576164597760,Tinkertonpdx,Tinkertonpdx,Tinkerton,https://pbs.twimg.com/profile_images/2051003296022986752/pBozQQHp_normal.jpg,2,4,6,4,4,8,8,0
1523246504374267904,TheRealFarley,TheRealFarley,TheRealFarley,https://pbs.twimg.com/profile_images/2067478061768228864/cPr7rRIk_normal.jpg,2,0,2,2,0,2,2,0
1637666197788303360,trendyhoopstars,trendyhoopstars,trendyhoopstars,https://pbs.twimg.com/profile_images/2081834041188511744/seUHmN78_normal.jpg,3,0,3,5,0,5,5,0
1326229737551912960,libsoftiktok,libsoftiktok,Libs of TikTok,https://pbs.twimg.com/profile_images/1489097242321428482/sQSUN_M6_normal.jpg,1,0,1,1,0,1,1,0
1605645682202841109,Stumptown161,Stumptown161,Stumptown161,https://pbs.twimg.com/profile_images/1605669155109232645/BPVzJXv1_normal.png,2,0,2,2,0,2,2,0
1974576512683982848,___lovelanii,___lovelanii,LANI ❦,https://pbs.twimg.com/profile_images/1999316731353833472/iCd5wY9d_normal.jpg,1,0,1,1,0,1,1,0
1577742107929968640,UnderdogWNBA,UnderdogWNBA,UnderdogWNBA,https://pbs.twimg.com/profile_images/2047002740350455808/miQPwj1S_normal.jpg,2,0,2,2,0,2,2,0
2898790691,allenanalysis,allenanalysis,allenanalysis,https://pbs.twimg.com/profile_images/2037076018511388672/AMkUJhtS_normal.jpg,2,0,2,2,0,2,2,0
375939488,cozzmo73,cozzmo73,cozzmo73,https://pbs.twimg.com/profile_images/2055297023801171969/Oh2LP4gQ_normal.jpg,2,2,4,6,2,8,8,0
2300372495,deirdrenugent4,deirdrenugent4,deirdrenugent4,https://pbs.twimg.com/profile_images/2066834786858020864/lTNuL3t9_normal.jpg,2,0,2,2,0,2,2,0
2084460940842467328,SmellyBawlZ6969,SmellyBawlZ6969,SmellyBawls,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,0,2,2,0,2,2,2,0
1624964660796719105,FuckOffMAGACult,FuckOffMAGACult,FuckOffMAGACult,https://pbs.twimg.com/profile_images/2086635847911362560/CA6j926-_normal.jpg,3,0,3,4,0,4,4,0
1551419143693426688,SammyIbarr,SammyIbarr,SammyIbarr,https://pbs.twimg.com/profile_images/2009078315882082305/EbBDCjpw_normal.jpg,1,0,1,1,0,1,1,0
2074691811478773760,MegaCuckAwarder,MegaCuckAwarder,The Mega Cuck Awarder™ 🏆,https://pbs.twimg.com/profile_images/2074712724131512320/lSMGJPW6_normal.jpg,0,9,9,0,9,9,9,0
345582896,conspiretard,conspiretard,conspiretard,,1,0,1,3,0,3,3,0
