Id,Label,0,1,2,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Weighted Degree_copy[z],splitter_z_value
208621786,IRStaxsecurity,IRStaxsecurity,IRStaxsecurity,https://pbs.twimg.com/profile_images/1242146991142055939/c4ejTMLD_normal.jpg,1,0,1,1,0,1,1,0
21622232,txcomptroller,txcomptroller,txcomptroller,https://pbs.twimg.com/profile_images/2083624138405482496/c4_CfCPT_normal.jpg,1,0,1,1,0,1,1,0
1963156225,DonHuffines,DonHuffines,DonHuffines,https://pbs.twimg.com/profile_images/1956402615316557826/1KRWGqox_normal.jpg,1,0,1,1,0,1,1,0
2052116648946200577,FaverTame,FaverTame,FaverTame,https://pbs.twimg.com/profile_images/2052117098877652992/qcZVyX8S_normal.jpg,2,0,2,2,0,2,2,0
1988771785177956352,GroundZeroPDX1,GroundZeroPDX1,GroundZeroPDX1,https://pbs.twimg.com/profile_images/2031264927646887937/sG5a_V1v_normal.jpg,1,0,1,1,0,1,1,0
1629981925829148673,JoshMeshell,JoshMeshell,JoshMeshell,https://pbs.twimg.com/profile_images/2023005521272528897/ZqerqK7Y_normal.jpg,1,0,1,1,0,1,1,0
1394256046336593923,ChrisxSims,ChrisxSims,ChrisxSims,https://pbs.twimg.com/profile_images/1994314500070363137/vXoJUlDz_normal.jpg,3,0,3,6,0,6,6,0
2084460940842467328,SmellyBawlZ6969,SmellyBawlZ6969,SmellyBawlZ6969,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,2,0,2,4,0,4,4,0
829885482196561921,Johnnthelefty,Johnnthelefty,Johnn Thelefty,https://pbs.twimg.com/profile_images/1496973732606210071/3C4zCUox_normal.jpg,1,0,1,1,0,1,1,0
2835451658,MrAndyNgo,MrAndyNgo,Andy Ngo,https://pbs.twimg.com/profile_images/1265070746931302401/2w71OcJP_normal.jpg,1,0,1,1,0,1,1,0
1580426566550814720,PDX_RNR,PDX_RNR,oh no,https://pbs.twimg.com/profile_images/1580439376798318593/dytVMmu2_normal.jpg,1,0,1,1,0,1,1,0
1815062075074592768,AdamsUnchained,AdamsUnchained,M. Adams,https://pbs.twimg.com/profile_images/2044067857185861632/Y6bBNQ_0_normal.jpg,1,0,1,3,0,3,3,0
1605645682202841109,Stumptown161,Stumptown161,StumptownResearch,https://pbs.twimg.com/profile_images/1605669155109232645/BPVzJXv1_normal.png,1,0,1,1,0,1,1,0
1544721396739227650,ShadowChia123,ShadowChia123,Frankie T.,https://pbs.twimg.com/profile_images/2056875151870812161/6vwQyb5S_normal.jpg,1,0,1,2,0,2,2,0
223267743,Yung_Luv_Music,Yung_Luv_Music,Yung Luv Music,https://pbs.twimg.com/profile_images/2076510468135661569/UWCaD_59_normal.jpg,1,0,1,1,0,1,1,0
1974125418094497792,LibtardAwarder,LibtardAwarder,Libtard Awarder ™,https://pbs.twimg.com/profile_images/1974132412922601472/8bU-vwdB_normal.jpg,0,3,3,0,3,3,3,0
783214,X,X,X,https://pbs.twimg.com/profile_images/1955359038532653056/OSHY3ewP_normal.jpg,1,0,1,1,0,1,1,0
1261156543602417673,FatPatriot95,FatPatriot95,FatPatriot95,https://pbs.twimg.com/profile_images/2007017711495475200/r8dct91N_normal.jpg,1,0,1,1,0,1,1,0
2072091711354949632,MyraCreatrix,MyraCreatrix,MyraCreatrix,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,2,0,2,2,0,2,2,0
1324133875975516163,jamgrass75,jamgrass75,jamgrass75,https://pbs.twimg.com/profile_images/1415820745788116995/VpjPAtuS_normal.jpg,1,0,1,1,0,1,1,0
259231357,christin368,christin368,C,https://pbs.twimg.com/profile_images/1749011211063017473/RZcrqQi5_normal.jpg,0,11,11,0,11,11,11,0
1519014952182423554,Cornbreadsmom,Cornbreadsmom,Cornbreadsmom,https://pbs.twimg.com/profile_images/1983269120909987840/Itt90yaI_normal.jpg,1,0,1,1,0,1,1,0
1543260572778524676,TheJoeyMama,TheJoeyMama,JoeyMama,https://pbs.twimg.com/profile_images/1789130575040925696/JOqz88a6_normal.jpg,2,3,5,4,3,7,7,0
1979306542123094016,FAntifa1776,FAntifa1776,FucAntifa1776,https://pbs.twimg.com/profile_images/2011682478696906756/nuJU3Js0_normal.jpg,0,8,8,0,8,8,8,0
2366303126,TheFanAccountX,TheFanAccountX,The Fan Account - Citizens Audit | Operation 3143,https://pbs.twimg.com/profile_images/2064799785383579648/RojJOMFp_normal.jpg,1,0,1,1,0,1,1,0
1959410619569913856,Cocibolca39,Cocibolca39,Cocibolca39,https://pbs.twimg.com/profile_images/2085881485693734912/331hDIIr_normal.jpg,1,0,1,1,0,1,1,0
